Entry	Entry name	Protein names	Gene names
P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58
Q00536	CDK16_HUMAN	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	CDK16 PCTAIRE1 PCTK1
O76039	CDKL5_HUMAN	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	CDKL5 STK9
Q8IVW4	CDKL3_HUMAN	Cyclin-dependent kinase-like 3 (EC 2.7.11.22) (Serine/threonine-protein kinase NKIAMRE)	CDKL3 NKIAMRE
Q92772	CDKL2_HUMAN	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)	CDKL2
Q00532	CDKL1_HUMAN	Cyclin-dependent kinase-like 1 (EC 2.7.11.22) (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE)	CDKL1
Q86Z02	HIPK1_HUMAN	Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2)	HIPK1 KIAA0630 MYAK NBAK2
Q8NE63	HIPK4_HUMAN	Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)	HIPK4
P49841	GSK3B_HUMAN	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B
P49840	GSK3A_HUMAN	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A
Q8TD08	MK15_HUMAN	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	MAPK15 ERK7 ERK8
P28482	MK01_HUMAN	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2
P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3
Q16659	MK06_HUMAN	Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK)	MAPK6 ERK3 PRKM6
P31152	MK04_HUMAN	Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK)	MAPK4 ERK4 PRKM4
Q13164	MK07_HUMAN	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	MAPK7 BMK1 ERK5 PRKM7
P45984	MK09_HUMAN	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A
P53779	MK10_HUMAN	Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10) (EC 2.7.11.24) (MAP kinase p49 3F12) (Stress-activated protein kinase 1b) (SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3)	MAPK10 JNK3 JNK3A PRKM10 SAPK1B
P45983	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C
Q9UBE8	NLK_HUMAN	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	NLK LAK1
Q15759	MK11_HUMAN	Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)	MAPK11 PRKM11 SAPK2 SAPK2B
Q16539	MK14_HUMAN	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
O15264	MK13_HUMAN	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	MAPK13 PRKM13 SAPK4
P53778	MK12_HUMAN	Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3
P20794	MAK_HUMAN	Serine/threonine-protein kinase MAK (EC 2.7.11.22) (Male germ cell-associated kinase)	MAK
Q9UPZ9	ICK_HUMAN	Serine/threonine-protein kinase ICK (EC 2.7.11.22) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	ICK KIAA0936
Q96SB4	SRPK1_HUMAN	SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)	SRPK1
Q9UPE1	SRPK3_HUMAN	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)	SRPK3 MSSK1 STK23
P78362	SRPK2_HUMAN	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2
O15111	IKKA_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	CHUK IKKA TCF16
O14920	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)	IKBKB IKKB
Q14164	IKKE_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151
Q96GD4	AURKB_HUMAN	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5
O14965	AURKA_HUMAN	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
Q9UQB9	AURKC_HUMAN	Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)	AURKC AIE2 AIK3 AIRK3 ARK3 STK13
Q8N5S9	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA
Q96RR4	KKCC2_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)	CAMKK2 CAMKKB KIAA0787
O00311	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1
P68400	CSK21_HUMAN	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1
P19784	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2
Q8TF76	HASP_HUMAN	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)	GSG2
Q9UHD2	TBK1_HUMAN	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK
O14976	GAK_HUMAN	Cyclin-G-associated kinase (EC 2.7.11.1)	GAK
Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048
O75716	STK16_HUMAN	Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)	STK16 MPSK1 PKL12 TSF1
Q9NSY1	BMP2K_HUMAN	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	BMP2K BIKE HRIHFB2017
P51955	NEK2_HUMAN	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1
Q8TD19	NEK9_HUMAN	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC
Q9HC98	NEK6_HUMAN	Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)	NEK6
Q8TDX7	NEK7_HUMAN	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	NEK7
Q6P3R8	NEK5_HUMAN	Serine/threonine-protein kinase Nek5 (EC 2.7.11.1) (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)	NEK5
P51957	NEK4_HUMAN	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)	NEK4 STK2
Q96PY6	NEK1_HUMAN	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	NEK1 KIAA1901
P51956	NEK3_HUMAN	Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)	NEK3
Q8NG66	NEK11_HUMAN	Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)	NEK11
P0C264	SBK3_HUMAN	Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3-binding domain kinase family member 3) (Sugen kinase 110)	SBK3 SGK110
Q52WX2	SBK1_HUMAN	Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3-binding kinase 1)	SBK1
Q8TDR2	STK35_HUMAN	Serine/threonine-protein kinase 35 (EC 2.7.11.1) (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)	STK35 CLIK1 PDIK1 STK35L1
Q9P2K8	E2AK4_HUMAN	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	EIF2AK4 GCN2 KIAA1338
Q9BQI3	E2AK1_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (Hemin-sensitive initiation factor 2-alpha kinase)	EIF2AK1 HRI KIAA1369 PRO1362
Q9NZJ5	E2AK3_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	EIF2AK3 PEK PERK
P19525	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR
P53350	PLK1_HUMAN	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK
O00444	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18
Q9H4B4	PLK3_HUMAN	Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	PLK3 CNK FNK PRK
Q9NYY3	PLK2_HUMAN	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	PLK2 SNK
Q9UKI8	TLK1_HUMAN	Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (PKU-beta) (Tousled-like kinase 1)	TLK1 KIAA0137
Q86UE8	TLK2_HUMAN	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	TLK2
Q96KB5	TOPK_HUMAN	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	PBK TOPK
Q9NRP7	STK36_HUMAN	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	STK36 KIAA1278
Q6PHR2	ULK3_HUMAN	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3
Q8IYT8	ULK2_HUMAN	Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)	ULK2 KIAA0623
O75385	ULK1_HUMAN	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722
P30291	WEE1_HUMAN	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	WEE1
P0C1S8	WEE2_HUMAN	Wee1-like protein kinase 2 (EC 2.7.10.2) (Wee1-like protein kinase 1B) (Wee1B kinase)	WEE2 WEE1B
Q9Y478	AAKB1_HUMAN	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	PRKAB1 AMPK
Q56UN5	M3K19_HUMAN	Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (Regulated in COPD, protein kinase) (SPS1/STE20-related protein kinase YSK4)	MAP3K19 RCK YSK4
Q9Y2U5	M3K2_HUMAN	Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)	MAP3K2 MAPKKK2 MEKK2
Q13233	M3K1_HUMAN	Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1)	MAP3K1 MAPKKK1 MEKK MEKK1
Q99683	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	MAP3K5 ASK1 MAPKKK5 MEKK5
Q9Y6R4	M3K4_HUMAN	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1
P41279	M3K8_HUMAN	Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	MAP3K8 COT ESTF
O95382	M3K6_HUMAN	Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)	MAP3K6 ASK2 MAPKKK6 MEKK6
Q6ZN16	M3K15_HUMAN	Mitogen-activated protein kinase kinase kinase 15 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 3) (MAPK/ERK kinase kinase 15) (MEK kinase 15) (MEKK 15)	MAP3K15 ASK3
Q99759	M3K3_HUMAN	Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3)	MAP3K3 MAPKKK3 MEKK3
O95747	OXSR1_HUMAN	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	OXSR1 KIAA1101 OSR1
Q9UEW8	STK39_HUMAN	STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)	STK39 SPAK
Q9Y4K4	M4K5_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5)	MAP4K5
Q12851	M4K2_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP
Q8IVH8	M4K3_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	MAP4K3 RAB8IPL1
Q92918	M4K1_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)	MAP4K1 HPK1
Q9UKE5	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	TNIK KIAA0551
Q8N4C8	MINK1_HUMAN	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3
O95819	M4K4_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK
Q13188	STK3_HUMAN	Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	STK3 KRS1 MST2
Q13043	STK4_HUMAN	Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]	STK4 KRS2 MST1
Q8NEV4	MYO3A_HUMAN	Myosin-IIIa (EC 2.7.11.1)	MYO3A
Q8WXR4	MYO3B_HUMAN	Myosin-IIIb (EC 2.7.11.1)	MYO3B
O75914	PAK3_HUMAN	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)	PAK3 OPHN3
Q13153	PAK1_HUMAN	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	PAK1
Q13177	PAK2_HUMAN	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]	PAK2
Q9NQU5	PAK6_HUMAN	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	PAK6 PAK5
Q9P286	PAK5_HUMAN	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	PAK5 KIAA1264 PAK7
O96013	PAK4_HUMAN	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	PAK4 KIAA1142
O94804	STK10_HUMAN	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK
Q9H2G2	SLK_HUMAN	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK KIAA0204 STK2
Q7L7X3	TAOK1_HUMAN	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	TAOK1 KIAA1361 MAP3K16 MARKK
Q9H2K8	TAOK3_HUMAN	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	TAOK3 DPK JIK KDS MAP3K18
Q9UL54	TAOK2_HUMAN	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431
Q9Y6E0	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3
O00506	STK25_HUMAN	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1
Q9P289	STK26_HUMAN	Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)	STK26 MASK MST4
Q99558	M3K14_HUMAN	Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)	MAP3K14 NIK
Q9Y616	IRAK3_HUMAN	Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)	IRAK3
P53667	LIMK1_HUMAN	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK
P53671	LIMK2_HUMAN	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	LIMK2
Q5S007	LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	LRRK2 PARK8
Q59H18	TNI3K_HUMAN	Serine/threonine-protein kinase TNNI3K (EC 2.7.11.1) (Cardiac ankyrin repeat kinase) (Cardiac troponin I-interacting kinase) (TNNI3-interacting kinase)	TNNI3K CARK
